feature,n,mae,rmse,max_abs
HOMO-6s-HOMO-1i,52,0.038285057692307695,0.07051642531476675,0.27466599999999997
HOMO-9s-HOMO-1i,52,0.03829836538461539,0.07049288570309771,0.274587
HOMO-10s-HOMO-1i,52,0.03830094230769231,0.07025000510306578,0.274818
HOMOs-HOMO-1i,52,0.0388146730769231,0.07017915737911298,0.275771
LUMO+9s-HOMO-1i,52,0.03888690384615385,0.06966874723026542,0.27474699999999996
LUMO+1s-LUMO+2i,52,0.06423655769230771,0.06949178910531584,0.110765
LUMO+5s-HOMO-1i,52,0.03916734615384616,0.06937859263213246,0.273999
LUMO+7s-HOMO-1i,52,0.03913457692307694,0.0693240757529446,0.27320300000000003
HOMO-3s-HOMO-2i,52,0.05007853846153842,0.06916696997066646,0.22903
LUMO+2s-LUMO+2i,52,0.06351873076923074,0.06880605638621555,0.110781
LUMO+8s-HOMO-1i,52,0.03971963461538461,0.06879655979952777,0.27187700000000004
LUMO+6s-HOMO-1i,52,0.03962998076923077,0.06873789540613957,0.270317
LUMO+4s-HOMO-1i,52,0.03974561538461538,0.06871101943983612,0.271117
LUMO+10s-HOMO-1i,52,0.04009117307692307,0.0683233070370629,0.26818299999999995
HOMO-5s-HOMO-2i,52,0.04852778846153843,0.06831325155698899,0.23391499999999998
HOMO-8s-HOMO-2i,52,0.04881876923076918,0.06816633057230162,0.227147
LUMO+3s-HOMO-1i,52,0.04043976923076923,0.0680650051336673,0.26483500000000004
LUMO+2s-HOMO-1i,52,0.041935096153846135,0.06736014574129469,0.261235
LUMO+1s-HOMO-1i,52,0.042173961538461535,0.0672093656231149,0.25944
LUMOs-HOMO-1i,52,0.0426998076923077,0.06718899518121653,0.26277999999999996
HOMO-2s-HOMO-2i,52,0.04691882692307692,0.06670356508535473,0.226791
HOMO-1s-HOMO-2i,52,0.04670736538461538,0.06656031948728913,0.227045
HOMO-7s-HOMO-2i,52,0.04672490384615381,0.0665052256779929,0.224519
Balance of charges (miu),52,0.04948261442307692,0.06598146147080508,0.14109499999999997
HOMO-6s-HOMO-2i,52,0.04513874999999996,0.06531054866043402,0.223715
HOMO-9s-HOMO-2i,52,0.04507809615384612,0.06526461854089441,0.22363599999999997
LUMO+3s-LUMO+2i,52,0.05963451923076923,0.0650313791750094,0.105508
HOMO-10s-HOMO-2i,52,0.044604403846153814,0.06496039478716123,0.22386699999999998
LUMOs-LUMO+3i,52,0.05849801923076924,0.06494166965838832,0.140967
HOMOs-HOMO-2i,52,0.04387332692307691,0.06440828668660459,0.22482000000000002
LUMO+10s-LUMO+2i,52,0.05877842307692308,0.06431565265786932,0.107055
LUMO+9s-HOMO-2i,52,0.04300405769230769,0.0637293771078746,0.22379599999999997
LUMO+4s-LUMO+2i,52,0.05765321153846152,0.0633531224895275,0.107422
LUMO+1s-LUMO+3i,52,0.05695444230769232,0.06324957354751343,0.133257
LUMO+8s-LUMO+2i,52,0.057510653846153836,0.06324541842360537,0.10782899999999998
LUMO+5s-HOMO-2i,52,0.042389999999999976,0.06308576795247757,0.223048
LUMO+7s-HOMO-2i,52,0.042167346153846166,0.06299630287808715,0.222252
LUMO+6s-LUMO+2i,52,0.05731276923076922,0.06296327604277321,0.10576300000000001
LUMO+2s-LUMO+3i,52,0.05623661538461537,0.06260347615041342,0.133273
LUMO+8s-HOMO-2i,52,0.04118171153846154,0.06174005456642701,0.220926
LUMO+6s-HOMO-2i,52,0.04069128846153845,0.061678479179251684,0.21936599999999998
LUMO+4s-HOMO-2i,52,0.04088469230769231,0.06156706819958464,0.22016599999999997
LUMO+5s-LUMO+2i,52,0.05560894230769231,0.0613875084895754,0.105242
LUMO+7s-LUMO+2i,52,0.055602480769230765,0.061339156892233196,0.10443
LUMO+10s-HOMO-2i,52,0.03966401923076924,0.06066925516098299,0.21723199999999998
LUMO+9s-LUMO+2i,52,0.05468130769230768,0.060477697663302674,0.10369299999999998
LUMO+3s-HOMO-2i,52,0.03852800000000001,0.059994672621825354,0.21388400000000002
HOMOs-LUMO+2i,52,0.05363653846153845,0.059430500674511194,0.10125099999999998
LUMO+3s-LUMO+3i,52,0.052352403846153854,0.058876816841311866,0.128
HOMO-10s-LUMO+2i,52,0.05278484615384616,0.05860551266962205,0.09906799999999999
LUMO+10s-LUMO+3i,52,0.0514963076923077,0.05814826700010401,0.129547
HOMO-9s-LUMO+2i,52,0.052285153846153835,0.058116729984045566,0.09720900000000005
HOMO-6s-LUMO+2i,52,0.05223003846153847,0.058063181079883876,0.09714400000000001
LUMOs-LUMOi,52,0.04645386538461537,0.057672453939167395,0.14200000000000002
LUMO+2s-HOMO-2i,52,0.03707448076923077,0.057617724531705855,0.210284
LUMO+4s-LUMO+3i,52,0.050346788461538436,0.05720356322868088,0.129914
LUMO+1s-HOMO-2i,52,0.03690403846153845,0.05718847623160025,0.20848899999999998
